datetime,txn
2018-03-01 09:51:03,379, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,404, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,434, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,454, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,480, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,499, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,527, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,551, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,577, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,595, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,621, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,643, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,671, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,694, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,715, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,763, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,772, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,808, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,820, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,857, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,867, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,906, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,947, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:03,953, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,056, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,056, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,107, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,116, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,152, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,163, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,210, Workqueue DWM: Sending message: Workflow
