datetime,targetLatency,sourceLatency
2017-11-27T14:53:50
2017-11-27T14:54:12,0,0
2017-11-27T16:12:08
2017-11-27T16:12:30,0,0
2017-11-27T16:13:00,0,0
2017-11-27T16:13:30,0,0
2017-11-27T16:14:00,0,0
2017-11-27T16:14:30,0,0
2017-11-27T16:15:00,0,0
2017-11-27T16:15:32,1,0
2017-11-27T16:16:04,1,0
2017-11-27T16:16:35,0,0
2017-11-27T16:17:07,1,0
2017-11-27T16:17:40,0,0
2017-11-27T16:18:12,3,0
2017-11-27T16:18:43,1,0
2017-11-27T16:19:17,4,0
2017-11-27T16:19:49,0,0
2017-11-27T16:20:22,0,0
2017-11-27T16:20:55,0,0
2017-11-27T16:21:29,0,0
2017-11-27T16:22:25
2017-11-27T16:22:47,0,0
2017-11-27T16:23:17,0,0
2017-11-27T16:23:47,0,0
2017-11-27T16:24:22,0,0
2017-11-27T16:24:54,0,0
2017-11-27T16:25:28,2,0
2017-11-27T16:26:01,0,0
2017-11-27T16:26:32,0,0
2017-11-27T16:27:05,1,0
2017-11-27T16:27:37,0,1
2017-11-27T16:28:11,0,0
2017-11-27T16:28:43,0,0
2017-11-27T16:29:14,0,0
2017-11-27T16:29:45,0,1
2017-11-27T16:30:17,1,0
2017-11-27T16:30:49,0,0
2017-11-27T16:31:21,2,0
2017-11-27T16:31:51,4,0
2017-11-27T16:32:23,0,0
2017-11-27T16:32:54,0,0
2017-11-27T16:33:25,0,0
2017-11-27T16:33:58,0,0
2017-11-27T16:34:30,3,0
2017-11-27T16:35:02,4,0
2017-11-27T16:35:34,0,0
2017-11-27T16:36:06,0,0
2017-11-27T16:36:37,0,0
2017-11-27T16:37:09,2,0
2017-11-27T16:37:40,1,0
2017-11-27T16:38:14,7,0
2017-11-27T16:38:46,2,0
2017-11-27T16:39:20,9,1
2017-11-27T16:39:54,0,0
2017-11-27T16:40:27,0,0
2017-11-27T16:40:57,0,0
2017-11-27T16:41:27,0,1
2017-11-27T16:41:57,0,0
2017-11-27T16:42:27,0,1
2017-11-27T16:42:57,0,0
2017-11-27T16:43:27,0,1
2017-11-27T16:43:57,4,23
2017-11-27T16:44:27,8,49
2017-11-27T16:44:57,9,75
2017-11-27T16:45:27,8,03
2017-11-27T16:45:57,8,30
2017-11-27T16:46:27,16,49
2017-11-27T16:46:57,18,74
2017-11-27T16:47:27,16,02
2017-11-27T16:47:57,19,25
2017-11-27T16:48:27,18,52
2017-11-27T16:48:57,15,80
2017-11-27T16:49:27,19,04
2017-11-27T16:49:57,22,27
2017-11-27T16:50:27,24,53
2017-11-27T16:50:57,24,80
2017-11-27T16:51:27,27,05
2017-11-27T16:51:57,29,29
2017-11-27T16:52:27,27,56
2017-11-27T16:52:57,25,84
2017-11-27T16:53:27,28,06
2017-11-27T16:53:57,28,32
2017-11-27T16:54:27,25,60
